"","Code","Firmnames","Return on Assets","Gross Margin","Assets/Equity","Asset Turnover","Return on Invested Capital","Tobin's Q Ratio","Profit Margin","Total GHG Emissions","Total Assets","Year"
"86",13,"KIM US EQUITY","    8.2767",NA,"    2.1531","    0.1080","    8.0197","    1.5900","   76.6317","   56.2250","11344.1710","2015"
"87",13,"KIM US EQUITY","    3.3564",NA,"    2.0457","    0.1037","    5.0314","    1.5554","   32.3584","   53.5540","11230.6000","2016"
"88",13,"KIM US EQUITY","    3.7059",NA,"    2.1241","    0.1044","    4.2366","    1.2857","   35.4816","   44.7930","11763.7260","2017"
"89",13,"KIM US EQUITY","    4.3738",NA,"    2.0239","    0.1023","    4.2380","    1.1870","   42.7379","   39.0380","10999.1000","2018"
"90",13,"KIM US EQUITY","    3.7333",NA,"    2.2232","    0.1054","    4.6633","    1.4153","   35.4311","   33.3690","10997.8670","2019"
"91",13,"KIM US EQUITY","    8.8521",NA,"    2.0426","    0.0936","    3.7381","    1.1183","   94.6063","   33.3690","11614.4980","2020"
"92",14,"LTHM US EQUITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014"
"93",14,"LTHM US EQUITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015"
"94",14,"LTHM US EQUITY",NA," 33.4343",NA,NA,NA,NA," 17.8342",NA,"372.1000","2016"
"95",14,"LTHM US EQUITY","   9.7201","  42.8325",NA,"   0.8002","1423.9211",NA,"  12.1474",NA," 496.2000","2017"
"96",14,"LTHM US EQUITY"," 21.8710"," 46.6215","  1.3511","  0.7644"," 60.3269","  3.3057"," 28.6102",NA,"661.5000","2018"
"97",14,"LTHM US EQUITY","  6.6005"," 29.5829","  1.5801","  0.5107"," 13.7367","  1.8202"," 12.9248",NA,"859.6000","2019"
"98",14,"LTHM US EQUITY"," -2.1042"," 12.7689","  1.6557","  0.3209"," -2.0422","  3.3322"," -6.5579",NA,"936.8000","2020"
"99",15,"OC US EQUITY","   2.9758","  18.5551","   2.0220","   0.6926","   7.0915","   1.0608","   4.2966","4050.6600","7542.0000","2014"
"100",15,"OC US EQUITY","   4.4230","  21.5514","   1.9529","   0.7171","   7.5940","   1.2319","   6.1682","3689.0900","7380.0000","2015"
"101",15,"OC US EQUITY","   5.1981","  24.2558","   1.9905","   0.7509","   8.5815","   1.2534","   6.9227","3957.9500","7741.0000","2016"
"102",15,"OC US EQUITY","   3.5302","  24.5771","   2.0533","   0.7798","   7.7373","   1.7054","   4.5269","3883.4600","8632.0000","2017"
"103",15,"OC US EQUITY","   5.9229","  23.1260","   2.2597","   0.7669","   8.6022","   1.0545","   7.7228","4372.8600","9771.0000","2018"
"104",15,"OC US EQUITY","    4.0957","   22.4721","    2.1422","    0.7241","    7.2668","    1.2466","    5.6564"," 4203.5600","10006.0000","2019"
"105",15,"OC US EQUITY","  -3.9308","  22.8207","   2.4057","   0.7241","  -3.8289","   1.4324","  -5.4288","4203.5600","9481.0000","2020"
"106",16,"PEP US EQUITY","    8.8021","   53.1545","    4.0181","    0.9012","   13.6008","    2.8014","    9.7671"," 5855.0000","70509.0000","2014"
"107",16,"PEP US EQUITY","    7.7788","   54.4357","    5.7911","    0.8997","   12.5926","    2.9191","    8.6463"," 5585.0000","69667.0000","2015"
"108",16,"PEP US EQUITY","    8.8420","   55.0598","    6.5622","    0.8773","   15.4392","    2.8827","   10.0782"," 5700.0900","73490.0000","2016"
"109",16,"PEP US EQUITY","    6.3368","   54.6698","    7.2675","    0.8288","   10.2170","    2.9979","    7.6458"," 5480.8900","79804.0000","2017"
"110",16,"PEP US EQUITY","   15.8969","   54.5615","    5.3176","    0.8213","   26.9303","    2.8156","   19.3548"," 5207.2400","77648.0000","2018"
"111",16,"PEP US EQUITY","    9.3652","   55.1347","    5.2830","    0.8600","   17.3518","    3.2475","   10.8902"," 5108.9400","78547.0000","2019"
"112",16,"PEP US EQUITY","    8.3049","   54.8158","    6.8564","    0.8208","   14.6213","    3.0096","   10.1177"," 5108.9400","92918.0000","2020"
"113",17,"PLUG US EQUITY"," -73.8919","  -7.5697","   1.2805","   0.5364"," -74.7580","   2.8468","-137.7674",NA," 204.1510","2014"
"114",17,"PLUG US EQUITY","-26.9289"," -9.5752","  1.6638","  0.4994","-38.1616","  2.2927","-53.9172",NA,"209.4560","2015"
"115",17,"PLUG US EQUITY","-25.5334","  4.5922","  2.5428","  0.3817","-35.4751","  1.6283","-66.9014",NA,"240.8320","2016"
"116",17,"PLUG US EQUITY"," -49.6754"," -28.0461","   3.6421","   0.3915"," -65.4389","   2.7781","-126.8859",NA," 270.8100","2017"
"117",17,"PLUG US EQUITY","-23.6305","  1.5014"," 11.3612","  0.5283","-26.4008","  1.7406","-44.7312",NA,"390.3260","2018"
"118",17,"PLUG US EQUITY","-14.7162"," 12.1465","  5.6776","  0.3964","-11.7325","  2.1340","-37.1201",NA,"771.1840","2019"
"119",17,"PLUG US EQUITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"120",18,"PNC US EQUITY","     1.2578",NA,"     7.4895","     0.0489","     4.3109","     1.0206","    27.2130","   421.1320","345072.0000","2014"
"121",18,"PNC US EQUITY","     1.1672",NA,"     7.7967","     0.0463","     4.0448","     1.0192","    26.9688","   342.8630","358493.0000","2015"
"122",18,"PNC US EQUITY","1.0769e+00",NA,"7.8196e+00","4.5300e-02","4.1712e+00","1.0410e+00","2.5742e+01","3.3408e+02","3.6638e+05","2016"
"123",18,"PNC US EQUITY","     1.4289",NA,"     8.0018","     0.0483","     5.3547","     1.0650","    32.6903","   301.6940","380768.0000","2017"
"124",18,"PNC US EQUITY","     1.3894",NA,"     8.0032","     0.0524","     5.0983","     1.0162","    30.9421","   249.3960","382315.0000","2018"
"125",18,"PNC US EQUITY","     1.3548",NA,"     8.3152","     0.0546","     5.3846","     1.0495","    30.1172","   249.3960","410295.0000","2019"
"126",18,"PNC US EQUITY","     1.7143",NA,"     8.6356","     0.0416","     5.7787","     1.0272","    44.4767","   249.3960","466679.0000","2020"
"127",19,"PRU US EQUITY","     0.1843",NA,"    18.1033","     0.0722","     3.6791","     0.9992","     2.5524","    74.9060","766655.0000","2014"
"128",19,"PRU US EQUITY","     0.7405",NA,"    18.0630","     0.0750","     0.1156","     0.9927","     9.8776","    69.0450","757255.0000","2015"
"129",19,"PRU US EQUITY","     0.5668",NA,"    17.0101","     0.0763","     4.3482","     0.9985","     7.4312","    70.9030","783962.0000","2016"
"130",19,"PRU US EQUITY","     0.9732",NA,"    15.3084","     0.0739","     6.0551","     0.9934","    13.1733","    70.6270","831921.0000","2017"
"131",19,"PRU US EQUITY","     0.4947",NA,"    16.6237","     0.0765","    -1.2513","     0.9814","     6.4675","    72.5170","815078.0000","2018"
"132",19,"PRU US EQUITY","     0.4891",NA,"    14.0704","     0.0757","     7.1936","     0.9713","     6.4592","    71.8990","896552.0000","2019"
"133",19,"PRU US EQUITY","    -0.0407",NA,"    13.7916","     0.0621","     4.3231","     0.9612","    -0.6558","    71.8990","940722.0000","2020"
"134",20,"REG US EQUITY","   4.6208",NA,"   2.1674","   0.1326","   5.3958","   2.0468","  34.8375","  32.8470","4197.1700","2014"
"135",20,"REG US EQUITY","   3.5813",NA,"   2.0085","   0.1360","   5.7478","   2.1630","  26.3366","  32.8470","4182.8810","2015"
"136",20,"REG US EQUITY","   3.8036",NA,"   1.7104","   0.1417","   6.5192","   2.0949","  26.8440","  32.8470","4488.9060","2016"
"137",20,"REG US EQUITY","    2.2524",NA,"    1.6554","    0.1259","    4.0102","    1.4609","   17.8881","   32.2810","11145.7170","2017"
"138",20,"REG US EQUITY","    2.2555",NA,"    1.6968","    0.1015","    4.1296","    1.3136","   22.2241","   33.8730","10944.6630","2018"
"139",20,"REG US EQUITY","    2.1691",NA,"    1.7698","    0.1027","    4.1836","    1.3889","   21.1298","   31.7940","11132.2530","2019"
"140",20,"REG US EQUITY","    0.4068",NA,"    1.8053","    0.0921","    1.6632","    1.1601","    4.4174","   31.7940","10936.9040","2020"
"141",21,"UDR US EQUITY","   2.2636",NA,"   2.2623","   0.1200","   2.1861","   1.7577","  18.8662",NA,"6828.7280","2014"
"142",21,"UDR US EQUITY","   4.6973",NA,"   1.9921","   0.1235","   3.8821","   1.9113","  38.0470",NA,"7663.8440","2015"
"143",21,"UDR US EQUITY","   3.8155",NA,"   1.9168","   0.1251","   3.5350","   1.8728","  30.4959",NA,"7679.5840","2016"
"144",21,"UDR US EQUITY","   1.5774",NA,"   2.0439","   0.1292","   2.5139","   1.9746","  12.2072",NA,"7733.2730","2017"
"145",21,"UDR US EQUITY","   2.6301",NA,"   1.9796","   0.1356","   4.6794","   2.0449","  19.4015",NA,"7711.7280","2018"
"146",21,"UDR US EQUITY","   2.1324",NA,"   2.1861","   0.1328","   4.2030","   2.0839","  16.0533",NA,"9636.4720","2019"
"147",21,"UDR US EQUITY","   0.6669",NA,"   2.3421","   0.1288","   2.7785","   1.8518","   5.1779",NA,"9637.5330","2020"
"148",22,"V US EQUITY","   14.5938",NA,"    1.4070","    0.3409","   17.3225","    3.7081","   42.8122","   84.2310","38569.0000","2014"
"149",22,"V US EQUITY","   16.0599",NA,"    1.3483","    0.3523","   19.4166","    4.4723","   45.5908","   84.9110","40236.0000","2015"
"150",22,"V US EQUITY","   11.4912",NA,"    1.9456","    0.2893","   13.3897","    3.6013","   39.7228","   77.9730","64035.0000","2016"
"151",22,"V US EQUITY","   10.1491",NA,"    2.0750","    0.2781","   12.6618","    4.1199","   36.4909","   65.7710","67977.0000","2017"
"152",22,"V US EQUITY","   15.0158",NA,"    2.0357","    0.3004","   18.7628","    5.3902","   49.9830","   63.2260","69225.0000","2018"
"153",22,"V US EQUITY","   17.0382",NA,"    2.0924","    0.3241","   21.9853","    5.2760","   52.5743","   64.5000","72574.0000","2019"
"154",22,"V US EQUITY","   14.1583",NA,"    2.2347","    0.2847","   18.2352","    5.4071","   49.7391","   64.5000","80919.0000","2020"
"155",23,"VFC US EQUITY","  10.3915","  48.5523","   1.7484","   1.1787","  18.4169","   3.6710","   8.8161",NA,"9845.3000","2014"
"156",23,"VFC US EQUITY","  12.6415","  49.0400","   1.7901","   1.1287","  17.5422","   3.1964","  11.2000"," 258.8150","9639.5420","2015"
"157",23,"VFC US EQUITY","  11.0854","  49.3030","   1.9711","   1.1380","  16.2894","   2.7606","   9.7414"," 250.5260","9739.2870","2016"
"158",23,"VFC US EQUITY","   6.2436","  50.5135","   2.6771","   1.1992","  10.6982","   3.5677","   5.2063"," 233.5350","9958.5020","2017"
"159",23,"VFC US EQUITY","    6.2436","   54.6471","    2.4094","    1.1992","   10.6982","    3.9150","   12.2704","  213.3130","10356.7850","2018"
"160",23,"VFC US EQUITY","    6.3234","   55.2796","    3.3161","    0.9761","   10.4396","    2.7167","    6.4780","  213.3130","11133.2510","2019"
"161",23,"VFC US EQUITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"162",24,"VZ US EQUITY","     3.7990","    60.7087","    17.0091","     0.5016","     9.0727","     1.7827","     7.5740","  5939.1000","232616.0000","2014"
"163",24,"VZ US EQUITY","     7.4997","    60.0691","    13.6854","     0.5521","    12.2804","     1.7037","    13.5838","  5974.8600","244175.0000","2015"
"164",24,"VZ US EQUITY","     5.3760","    58.1672","    10.1606","     0.5159","    11.2847","     1.7990","    10.4199","  5632.2200","244180.0000","2016"
"165",24,"VZ US EQUITY","    12.0086","    57.8979","     5.7543","     0.5028","    18.7439","     1.6721","    23.8832","  4899.0000","257143.0000","2017"
"166",24,"VZ US EQUITY","     5.9497","    57.5831","     4.8406","     0.5014","     9.2018","     1.6765","    11.8658","  4418.8200","264829.0000","2018"
"167",24,"VZ US EQUITY","     6.9229","    58.4994","     4.6427","     0.4739","    12.2989","     1.6600","    14.6093","  4418.8200","291727.0000","2019"
"168",24,"VZ US EQUITY","     5.8536","    60.0903","     4.5687","     0.4219","     9.8551","     1.5538","    13.8754","  4418.8200","316481.0000","2020"
"169",25,"WELL US EQUITY","    2.1319",NA,"    1.8410","    0.1392","    3.1143","    1.5092","   15.3177","  162.2690","24962.9230","2014"
"170",25,"WELL US EQUITY","    3.2740",NA,"    1.8897","    0.1430","    5.3609","    1.4242","   22.8961","  175.8640","29023.8450","2015"
"171",25,"WELL US EQUITY","    3.7237",NA,"    1.8409","    0.1479","    4.2420","    1.4326","   25.1755","  174.0430","28865.1840","2016"
"172",25,"WELL US EQUITY","    1.8404",NA,"    1.8264","    0.1520","    2.5852","    1.3907","   12.1107","  179.4880","27944.4450","2017"
"173",25,"WELL US EQUITY","    2.7621",NA,"    1.8951","    0.1613","    3.3921","    1.4520","   17.1249","  134.6050","30342.0720","2018"
"174",25,"WELL US EQUITY","    3.8681",NA,"    1.9656","    0.1607","    3.9635","    1.5395","   24.0648","  559.9110","33380.7510","2019"
"175",25,"WELL US EQUITY","    2.9723",NA,"    1.8858","    0.1399","    1.6199","    1.3386","   21.2517","  559.9110","32483.6420","2020"
"176",26,"XYL US EQUITY","   6.9277","  38.6364","   2.2722","   0.8050","  10.6669","   1.9959","   8.6057","  82.0330","4833.0000","2014"
"177",26,"XYL US EQUITY","   7.1654","  38.4342","   2.2346","   0.7699","  11.1998","   1.9507","   9.3074","  77.7440","4657.0000","2015"
"178",26,"XYL US EQUITY","   4.6716","  38.7696","   2.9334","   0.6776","   7.4775","   2.0347","   6.8947","  74.9980","6474.0000","2016"
"179",26,"XYL US EQUITY","   4.9648","  39.2394","   2.7233","   0.7060","   7.7845","   2.4236","   7.0321","  90.5830","6860.0000","2017"
"180",26,"XYL US EQUITY","   7.7972","  38.9092","   2.5960","   0.7395","  11.6852","   2.2769","  10.5435"," 104.5970","7222.0000","2018"
"181",26,"XYL US EQUITY","   5.3710","  38.9789","   2.5986","   0.7031","   8.9095","   2.4580","   7.6396","  92.5980","7710.0000","2019"
"182",26,"XYL US EQUITY","   3.0863","  37.5308","   2.9402","   0.5925","   5.5283","   2.7594","   5.2092","  92.5980","8750.0000","2020"
