"","Firmnames","Year","Code.x","Return_on_Assets_bf","Gross_Margin_bf","AssetsEquityRatio_bf","Asset_Turnover_bf","Return_on_Invested_Capital_bf","Tobins_Q_Ratio_bf","Profit_Margin_bf","Total_GHG_Emissions_bf","Total_Assets_bf","Code.y","Cpn","Amount_Issued","Maturity","BBG_Composite","Maturity_Type","Currency","Cntry_of_Incorp","Green_Instrument_Indicator"
"214","VZ US EQUITY",2017,24,12.0086,57.8979,5.7543,0.5028,18.7439,1.6721,23.8832,4899,257143,24,2.875,1738515000,"2038/1/15","BBB+","AT MATURITY","EUR","US",0
"215","VZ US EQUITY",2018,24,5.9497,57.5831,4.8406,0.5014,9.2018,1.6765,11.8658,4418.82,264829,24,1.29763,1788800000,"2025/5/15","BBB+","CALLABLE","USD","US",0
"216","VZ US EQUITY",2018,24,5.9497,57.5831,4.8406,0.5014,9.2018,1.6765,11.8658,4418.82,264829,24,4.329,4230411000,"2028/9/21","BBB+","AT MATURITY","USD","US",0
"217","VZ US EQUITY",2018,24,5.9497,57.5831,4.8406,0.5014,9.2018,1.6765,11.8658,4418.82,264829,24,3.376,4003544000,"2025/2/15","BBB+","AT MATURITY","USD","US",0
"218","VZ US EQUITY",2019,24,6.9229,58.4994,4.6427,0.4739,12.2989,1.66,14.6093,4418.82,291727,24,4.016,3960082000,"2029/12/3","BBB+","CALLABLE","USD","US",0
"219","VZ US EQUITY",2019,24,6.9229,58.4994,4.6427,0.4739,12.2989,1.66,14.6093,4418.82,291727,24,3.875,1e+09,"2029/2/8","BBB+","CALLABLE","USD","US",1
"220","VZ US EQUITY",2020,24,5.8536,60.0903,4.5687,0.4219,9.8551,1.5538,13.8754,4418.82,316481,24,3.15,1.5e+09,"2030/3/22","BBB+","CALLABLE","USD","US",0
"221","VZ US EQUITY",2020,24,5.8536,60.0903,4.5687,0.4219,9.8551,1.5538,13.8754,4418.82,316481,24,1.875,782454000,"2038/11/3","BBB+","CALLABLE","GBP","US",0
"222","VZ US EQUITY",2020,24,5.8536,60.0903,4.5687,0.4219,9.8551,1.5538,13.8754,4418.82,316481,24,2.987,4499992000,"2056/10/30","BBB+","CALLABLE","USD","US",0
"223","VZ US EQUITY",2020,24,5.8536,60.0903,4.5687,0.4219,9.8551,1.5538,13.8754,4418.82,316481,24,1.85,872744000,"2040/5/18","BBB+","CALLABLE","EUR","US",0
"224","VZ US EQUITY",2020,24,5.8536,60.0903,4.5687,0.4219,9.8551,1.5538,13.8754,4418.82,316481,24,4,1.25e+09,"2050/3/22","BBB+","CALLABLE","USD","US",0
"225","VZ US EQUITY",2020,24,5.8536,60.0903,4.5687,0.4219,9.8551,1.5538,13.8754,4418.82,316481,24,2.65,3e+09,"2040/11/20","BBB+","CALLABLE","USD","US",0
"226","VZ US EQUITY",2020,24,5.8536,60.0903,4.5687,0.4219,9.8551,1.5538,13.8754,4418.82,316481,24,1.5,1e+09,"2030/9/18","BBB+","CALLABLE","USD","US",1
"227","VZ US EQUITY",2020,24,5.8536,60.0903,4.5687,0.4219,9.8551,1.5538,13.8754,4418.82,316481,24,2.875,2.75e+09,"2050/11/20","BBB+","CALLABLE","USD","US",0
"228","VZ US EQUITY",2020,24,5.8536,60.0903,4.5687,0.4219,9.8551,1.5538,13.8754,4418.82,316481,24,0.85,2e+09,"2025/11/20","BBB+","CALLABLE","USD","US",0
"229","VZ US EQUITY",2020,24,5.8536,60.0903,4.5687,0.4219,9.8551,1.5538,13.8754,4418.82,316481,24,3,2e+09,"2060/11/20","BBB+","CALLABLE","USD","US",0
"231","XYL US EQUITY",2020,26,3.0863,37.5308,2.9402,0.5925,5.5283,2.7594,5.2092,92.598,8750,26,1.95,5e+08,"2028/1/30","BBB","CALLABLE","USD","US",1
"232","XYL US EQUITY",2020,26,3.0863,37.5308,2.9402,0.5925,5.5283,2.7594,5.2092,92.598,8750,26,2.25,5e+08,"2031/1/30","BBB","CALLABLE","USD","US",1
